@relation author-weka.filters.unsupervised.attribute.Remove-R21-weka.filters.unsupervised.attribute.Remove-R12-weka.filters.unsupervised.attribute.Remove-R8-weka.filters.unsupervised.attribute.Remove-R12-weka.filters.unsupervised.attribute.Remove-R18-weka.filters.unsupervised.attribute.Remove-R15-weka.filters.unsupervised.attribute.Remove-R1-3

@attribute Date {1,0}
@attribute DicoWords {1,0}
@attribute IsMail {1,0}
@attribute relatifNbWordsInBlock numeric
@attribute relatifNumLine numeric
@attribute maxRelatifNumLine {1,0}
@attribute minRelatifNumLine {1,0}
@attribute end {1,0}
@attribute NbNouns numeric
@attribute precededByAuthorTag {1,0}
@attribute createdBy {1,0}
@attribute Location {1,0}
@attribute org {1,0}
@attribute class {0,1}

@data
1,0,0,0.75,0.66,0,0,0,4,0,0,1,1,0
0,0,0,0.390977,0.225352,0,0,0,2,0,0,0,0,0
0,0,0,1,0.087719,0,0,0,2,0,0,0,0,0
0,0,0,0.731707,0.415423,0,0,0,0,0,1,0,0,0
1,0,0,0.343553,0.109295,0,0,0,3,0,1,0,0,0
0,0,0,0.52027,0.143646,0,0,0,2,0,0,1,0,0
0,0,0,1,0.749347,0,0,0,5,0,0,1,1,0
1,0,0,1,0.025939,0,0,0,2,0,0,0,0,0
1,1,1,0.977273,0.976744,0,0,1,2,0,1,1,0,0
0,0,0,1,0.486842,0,0,0,2,0,0,0,0,0
1,0,0,0.266885,0.910448,0,0,1,9,0,0,1,1,0
0,0,0,0.265639,0.595041,0,0,0,2,0,0,0,1,0
1,0,0,0.999202,0.995816,0,0,1,3,0,0,1,1,0
0,0,0,0.947701,0.34525,0,0,0,0,0,0,1,0,0
1,0,0,0.328947,0.754717,0,0,0,1,0,0,1,1,0
0,0,0,1,0.456221,0,0,0,2,0,0,1,1,0
1,0,0,0.783908,0.119497,0,0,0,1,0,0,1,1,0
0,0,0,1,0.057252,0,0,0,0,0,0,0,0,0
1,1,1,0.152941,0.857143,0,0,0,3,0,0,0,0,0
0,0,0,0.230126,0.870293,0,0,0,4,0,0,0,1,0
1,0,0,0.998131,0.918699,0,0,1,3,0,0,1,1,0
1,0,0,0.629885,0.955975,0,0,1,3,0,1,1,1,0
0,0,0,0.383436,0.973029,0,0,1,1,0,0,1,1,0
1,0,0,0.216263,0.519789,0,0,0,7,0,0,1,1,0
1,0,0,0.329389,0.840909,0,0,0,1,0,0,1,1,0
1,0,0,0.005978,0.013514,0,0,0,0,0,0,1,0,0
0,0,0,0.083815,0.242754,0,0,0,0,0,0,0,1,0
0,0,0,0.584746,0.32376,0,0,0,2,0,0,0,1,0
0,0,0,0.242224,0.657993,0,0,0,2,0,1,0,1,0
1,0,0,1,0.623431,0,0,0,3,0,0,1,1,0
0,0,0,0.18663,0.744048,0,0,0,0,0,0,0,0,0
1,0,0,0.180617,0.023599,0,0,0,1,0,0,0,0,0
0,0,0,1,0.422857,0,0,0,1,0,0,1,1,0
0,0,0,1,0.760417,0,0,0,2,0,0,1,0,0
0,0,0,0.999344,0.427861,0,0,0,2,0,0,1,1,0
0,0,0,0.740741,0,0,1,0,1,0,0,1,1,0
0,0,0,1,0.810103,0,0,0,0,0,0,1,1,0
0,0,0,0.248337,0.870647,0,0,0,1,0,0,0,0,0
0,0,0,1,0.300792,0,0,0,4,0,0,1,0,0
0,0,0,0.996575,0.726027,0,0,0,0,0,0,0,0,0
0,0,0,0.343553,0.115424,0,0,0,0,0,1,0,0,0
1,0,0,0.785124,0.205696,0,0,0,0,0,0,1,0,0
0,0,0,0.242224,0.877323,0,0,0,4,0,0,0,1,0
0,0,0,1,0.673913,0,0,0,7,0,0,1,1,0
0,0,0,0.996683,0.775362,0,0,0,18,0,0,1,1,0
1,1,0,0.09716,0.974138,0,0,1,0,0,0,0,1,0
0,0,0,0.584746,0.224543,0,0,0,1,0,0,0,1,0
0,0,1,1,0.99187,0,0,1,1,0,0,1,1,0
0,0,0,0.99827,0.300792,0,0,0,3,0,0,1,0,0
0,0,0,0.021759,0.831797,0,0,0,1,0,0,1,1,0
1,0,0,0.747449,0.5,0,0,0,7,0,0,1,1,0
1,0,0,0.15896,0.775362,0,0,0,0,0,0,0,0,0
1,0,0,0.930233,0.822785,0,0,0,3,0,0,1,1,0
1,0,0,1,0.565217,0,0,0,1,0,0,0,0,0
1,0,0,0.264262,0.596721,0,0,0,1,0,1,0,1,0
0,0,0,0.99536,0,0,1,0,2,0,0,1,1,0
0,0,0,0.169412,0.740741,0,0,0,0,0,0,0,0,0
0,0,0,1,0.900783,0,0,1,4,0,0,1,1,0
1,0,0,1,0.694561,0,0,0,3,0,0,1,1,0
1,0,0,0.988372,0.927083,0,0,1,4,0,0,0,0,0
0,0,0,0.998878,0.484663,0,0,0,0,0,0,0,1,0
0,0,0,0.101996,0.685323,0,0,0,2,0,0,0,1,0
1,0,0,0.139766,0.963228,0,0,1,3,0,0,1,1,0
1,0,0,0.510441,0.328244,0,0,0,4,0,0,1,1,0
0,0,0,0.149477,0.836207,0,0,0,8,0,0,1,1,0
1,0,0,1,0.736136,0,0,0,1,0,0,0,0,0
0,0,0,1,0.313984,0,0,0,8,0,0,1,0,0
0,0,0,1,0.137255,0,0,0,0,0,0,0,1,0
1,0,0,0.058993,0.949016,0,0,1,3,0,0,1,1,0
0,0,0,0.332732,0.066394,0,0,0,1,0,0,0,0,0
0,0,0,0.043839,0.611987,0,0,0,0,0,0,1,1,0
0,0,0,1,0.456044,0,0,0,6,0,0,1,1,0
0,0,0,0.008525,0.023217,0,0,0,0,0,0,1,1,0
